	Page	Edits	Editors	Views	Mobile %	Yago	Freebase	Wikidata
0	Elizabeth II	874	248	24763417	78.72	<http://yago-knowledge.org/resource/Elizabeth_II>	/m/0d1_f	Q9682
1	Joe Biden	1957	421	17371970	66.88	<http://yago-knowledge.org/resource/Joe_Biden>	/m/012gx2	Q6279
2	United States	1417	396	16838160	52.51	<http://yago-knowledge.org/resource/United_States>	/m/09c7w0	Q30
3	Donald Trump	3775	537	16742725	65.12	<http://yago-knowledge.org/resource/Donald_Trump>	/m/0cqt90	Q22686
4	Lionel Messi	1257	298	13272917	76.54	<http://yago-knowledge.org/resource/Lionel_Messi>	/m/06qjgc	Q615
5	Google	264	143	12689093	32.08	<http://yago-knowledge.org/resource/Google>	/m/045c7b	Q95
6	India	696	125	12561579	61.04	<http://yago-knowledge.org/resource/India>	/m/03rk0	Q668
7	Tom Brady	1111	296	12538472	78.04	<http://yago-knowledge.org/resource/Tom_Brady>	/m/01xyt7	Q313381
8	Charles, Prince of Wales	293	124	11754551	79.79	<http://yago-knowledge.org/resource/Charles,_Prince_of_Wales>	/m/0xnc3	Q43274
9	Afghanistan	1055	336	11088077	66.06	<http://yago-knowledge.org/resource/Afghanistan>	/m/0jdd	Q889
10	XXX (2002 film)	91	73	10534979	97.15	<http://yago-knowledge.org/resource/XXX_(2002_film)>	/m/025n07	Q283799
11	Dwayne Johnson	291	150	10091070	77.78	<http://yago-knowledge.org/resource/Dwayne_Johnson>	/m/014g_s	Q10738
12	United Kingdom	643	223	9907938	53.98	<http://yago-knowledge.org/resource/United_Kingdom>	/m/07ssc	Q145
13	DMX (rapper)	3	1	9662331	83.08	<http://yago-knowledge.org/resource/DMX_(rapper)>	/m/01vvzb1	Q223769
14	Keanu Reeves	114	69	9448571	79.28	<http://yago-knowledge.org/resource/Keanu_Reeves>	/m/0479b	Q43416
15	Scarlett Johansson	338	94	9361001	77.75	<http://yago-knowledge.org/resource/Scarlett_Johansson>	/m/02114t	Q34436
16	Betty White	435	175	9318104	84.04	<http://yago-knowledge.org/resource/Betty_White>	/m/025mb_	Q373895
17	Freddie Mercury	226	90	9240593	79.05	<http://yago-knowledge.org/resource/Freddie_Mercury>	/m/01vn0t_	Q15869
18	Britney Spears	597	158	8803948	75.86	<http://yago-knowledge.org/resource/Britney_Spears>	/m/015f7	Q11975
19	Michael Jackson	433	103	8659257	72.56	<http://yago-knowledge.org/resource/Michael_Jackson>	/m/09889g	Q2831
20	Adolf Hitler	334	108	8525381	63.86	<http://yago-knowledge.org/resource/Adolf_Hitler>	/m/07_m9_	Q352
21	Queen Victoria	276	86	8440407	73.8	<http://yago-knowledge.org/resource/Queen_Victoria>	/m/0cw10	Q9439
22	Ryan Reynolds	189	90	8101562	77.31	<http://yago-knowledge.org/resource/Ryan_Reynolds>	/m/036hf4	Q192682
23	Taylor Swift	1497	233	8081583	68.14	<http://yago-knowledge.org/resource/Taylor_Swift>	/m/0dl567	Q26876
24	Kim Kardashian	244	113	7990329	82.25	<http://yago-knowledge.org/resource/Kim_Kardashian>	/m/0261x8t	Q186304
25	Manchester United F.C.	524	178	7949836	64.02	<http://yago-knowledge.org/resource/Manchester_United_F.C.>	/m/050fh	Q18656
26	Clint Eastwood	136	58	7934274	76.29	<http://yago-knowledge.org/resource/Clint_Eastwood>	/m/0bwh6	Q43203
27	Jennifer Aniston	106	63	7797323	79.35	<http://yago-knowledge.org/resource/Jennifer_Aniston>	/m/09yrh	Q32522
28	LeBron James	483	181	7763367	74.31	<http://yago-knowledge.org/resource/LeBron_James>	/m/01jz6d	Q36159
29	Kanye West	687	319	7753122	70.97	<http://yago-knowledge.org/resource/Kanye_West>	/m/02l840	Q15935
30	Barack Obama	612	232	7739962	63.16	<http://yago-knowledge.org/resource/Barack_Obama>	/m/02mjmr	Q76
31	Leonardo DiCaprio	304	82	7630275	77.89	<http://yago-knowledge.org/resource/Leonardo_DiCaprio>	/m/0dvmd	Q38111
32	Michael Jordan	318	84	7508084	74.07	<http://yago-knowledge.org/resource/Michael_Jordan>	/m/054c1	Q41421
33	Adele	355	162	7490440	74.07	<http://yago-knowledge.org/resource/Adele>	/m/02z4b_8	Q23215
34	Angelina Jolie	200	85	7453562	80.91	<http://yago-knowledge.org/resource/Angelina_Jolie>	/m/0f4vbz	Q13909
35	Israel	263	109	7180624	66.19	<http://yago-knowledge.org/resource/Israel>	/m/03spz	Q801
36	China	841	256	7168973	55.15	<http://yago-knowledge.org/resource/China>	/m/0d05w3	Q148
37	Novak Djokovic	1033	183	7027215	72.82	<http://yago-knowledge.org/resource/Novak_Djokovic>	/m/09n70c	Q5812
38	New York City	886	153	6928480	47.52	<http://yago-knowledge.org/resource/New_York_City>	/m/02_286	Q60
39	Lady Gaga	679	169	6794273	73.21	<http://yago-knowledge.org/resource/Lady_Gaga>	/m/0478__m	Q19848
40	Tom Cruise	84	64	6756006	75.93	<http://yago-knowledge.org/resource/Tom_Cruise>	/m/07r1h	Q37079
41	Japan	345	136	6747215	46.35	<http://yago-knowledge.org/resource/Japan>	/m/03_3d	Q17
42	Daniel Craig	675	138	6713997	74.89	<http://yago-knowledge.org/resource/Daniel_Craig>	/m/04shbh	Q4547
43	Winston Churchill	374	122	6700082	73.64	<http://yago-knowledge.org/resource/Winston_Churchill>	/m/082xp	Q8016
44	Canada	413	142	6666509	53.74	<http://yago-knowledge.org/resource/Canada>	/m/0d060g	Q16
45	World War I	388	155	6625504	64.64	<http://yago-knowledge.org/resource/World_War_I>	/m/0cm2xh	Q361
46	Australia	341	148	6616732	52.76	<http://yago-knowledge.org/resource/Australia>	/m/0chghy	Q408
47	Arnold Schwarzenegger	247	152	6593805	71.15	<http://yago-knowledge.org/resource/Arnold_Schwarzenegger>	/m/0tc7	Q2685
48	Mahatma Gandhi	391	136	6587408	73.13	<http://yago-knowledge.org/resource/Mahatma_Gandhi>	/m/04xfb	Q1001
49	Android (operating system)	208	86	6504233	19.14	<http://yago-knowledge.org/resource/Android_(operating_system)>	/m/02wxtgw	Q94
50	Johnny Depp	310	94	6489993	76.54	<http://yago-knowledge.org/resource/Johnny_Depp>	/m/0jfx1	Q37175
51	Jennifer Lopez	574	109	6484099	80.31	<http://yago-knowledge.org/resource/Jennifer_Lopez>	/m/043zg	Q40715
52	Ben Affleck	179	66	6412497	79.3	<http://yago-knowledge.org/resource/Ben_Affleck>	/m/0151w_	Q483118
53	Megan Fox	95	51	6406952	80.69	<http://yago-knowledge.org/resource/Megan_Fox>	/m/05vk_d	Q80069
54	Microsoft Windows	137	73	6350548	14.63	<http://yago-knowledge.org/resource/Microsoft_Windows>	/m/04r_8	Q1406
55	Olivia Wilde	200	103	6306431	79.98	<http://yago-knowledge.org/resource/Olivia_Wilde>	/m/04x1_w	Q200355
56	John F. Kennedy	403	141	6289746	68.34	<http://yago-knowledge.org/resource/John_F._Kennedy>	/m/0d3k14	Q9696
57	Elvis Presley	290	121	6289734	73.17	<http://yago-knowledge.org/resource/Elvis_Presley>	/m/02jq1	Q303
58	Bruce Lee	255	90	6238349	78.3	<http://yago-knowledge.org/resource/Bruce_Lee>	/m/099d4	Q16397
59	Taiwan	951	227	6228225	57.09	<http://yago-knowledge.org/resource/Taiwan>	/m/06f32	Q865
60	Russia	2196	207	6167106	57.8	<http://yago-knowledge.org/resource/Russia>	/m/06bnz	Q159
61	Grey's Anatomy	450	231	6139047	71.96	<http://yago-knowledge.org/resource/Grey's_Anatomy>	/m/05lfwd	Q438406
62	Steve Jobs	156	89	6121559	66.82	<http://yago-knowledge.org/resource/Steve_Jobs>	/m/06y3r	Q19837
63	Kobe Bryant	235	99	6111656	73.72	<http://yago-knowledge.org/resource/Kobe_Bryant>	/m/01kmd4	Q25369
64	Justin Bieber	593	163	6077858	75.85	<http://yago-knowledge.org/resource/Justin_Bieber>	/m/06w2sn5	Q34086
65	Robin Williams	168	94	5986133	76.42	<http://yago-knowledge.org/resource/Robin_Williams>	/m/0dzf_	Q83338
66	Albert Einstein	382	131	5983488	65.92	<http://yago-knowledge.org/resource/Albert_Einstein>	/m/0jcx	Q937
67	Abraham Lincoln	260	133	5955266	65.84	<http://yago-knowledge.org/resource/Abraham_Lincoln>	/m/0gzh	Q91
68	George V	348	148	5934666	76.1	<http://yago-knowledge.org/resource/George_V>	/m/0cmpn	Q269412
69	Jason Sudeikis	243	163	5907191	79.03	<http://yago-knowledge.org/resource/Jason_Sudeikis>	/m/06cddt	Q14539
70	Chelsea F.C.	361	151	5881201	64.8	<http://yago-knowledge.org/resource/Chelsea_F.C.>	/m/023fb	Q9616
71	The Beatles	280	121	5877941	63.29	<http://yago-knowledge.org/resource/The_Beatles>	/m/07c0j	Q1299
72	Brad Pitt	126	49	5806159	77.51	<http://yago-knowledge.org/resource/Brad_Pitt>	/m/0c6qh	Q35332
73	Eminem	417	153	5804397	70.58	<http://yago-knowledge.org/resource/Eminem>	/m/01vsgrn	Q5608
74	Alec Baldwin	249	136	5751680	76.37	<http://yago-knowledge.org/resource/Alec_Baldwin>	/m/018ygt	Q170572
75	Jason Momoa	286	187	5739056	81.49	<http://yago-knowledge.org/resource/Jason_Momoa>	/m/06gh0t	Q315271
76	Margaret Thatcher	430	107	5729320	74.54	<http://yago-knowledge.org/resource/Margaret_Thatcher>	/m/03f5vvx	Q7416
77	Robert Downey Jr.	153	88	5725110	76.85	<http://yago-knowledge.org/resource/Robert_Downey_Jr.>	/m/016z2j	Q165219
78	Germany	348	144	5722198	50.81	<http://yago-knowledge.org/resource/Germany>	/m/0345h	Q183
79	Elton John	319	126	5713057	75.7	<http://yago-knowledge.org/resource/Elton_John>	/m/01vrz41	Q2808
80	Heath Ledger	205	107	5664060	82.98	<http://yago-knowledge.org/resource/Heath_Ledger>	/m/0237fw	Q40572
81	Macaulay Culkin	117	74	5650648	81.83	<http://yago-knowledge.org/resource/Macaulay_Culkin>	/m/01f5q5	Q103578
82	Priyanka Chopra	228	88	5637708	82.24	<http://yago-knowledge.org/resource/Priyanka_Chopra>	/m/03fwln	Q158957
83	Singapore	410	130	5629987	57.72	<http://yago-knowledge.org/resource/Singapore>	/m/06t2t	Q334
84	Martin Luther King Jr.	232	126	5625749	59.35	<http://yago-knowledge.org/resource/Martin_Luther_King_Jr.>	/m/051cc	Q8027
85	Pakistan	324	110	5580443	65.09	<http://yago-knowledge.org/resource/Pakistan>	/m/05sb1	Q843
86	Marilyn Monroe	264	72	5565247	77.83	<http://yago-knowledge.org/resource/Marilyn_Monroe>	/m/04wqr	Q4616
87	Aretha Franklin	499	219	5558418	80.92	<http://yago-knowledge.org/resource/Aretha_Franklin>	/m/012vd6	Q125121
88	Stephen Hawking	109	64	5538180	74.36	<http://yago-knowledge.org/resource/Stephen_Hawking>	/m/01tdnyh	Q17714
89	Selena Gomez	194	76	5532616	77.6	<http://yago-knowledge.org/resource/Selena_Gomez>	/m/0gs6vr	Q83287
90	Franklin D. Roosevelt	213	102	5495861	65.87	<http://yago-knowledge.org/resource/Franklin_D._Roosevelt>	/m/02yy8	Q8007
91	Tupac Shakur	376	115	5492159	76.67	<http://yago-knowledge.org/resource/Tupac_Shakur>	/m/07pzc	Q6107
92	David Bowie	338	107	5468538	67.6	<http://yago-knowledge.org/resource/David_Bowie>	/m/01vsy7t	Q5383
93	Emily Blunt	70	31	5443645	76.81	<http://yago-knowledge.org/resource/Emily_Blunt>	/m/04205z	Q193517
94	Ronald Reagan	497	186	5401579	65.3	<http://yago-knowledge.org/resource/Ronald_Reagan>	/m/06c0j	Q9960
95	Emma Watson	270	87	5372507	74.73	<http://yago-knowledge.org/resource/Emma_Watson>	/m/0134w7	Q39476
96	John Lennon	254	109	5370138	70.58	<http://yago-knowledge.org/resource/John_Lennon>	/m/01vsl3_	Q1203
